"coffeid","typeid","value"
35,12,"0.1"
35,13,"0"
35,14,"0"
35,15,"320"
35,16,"3"
35,17,"1750"
35,18,"1800"
36,1,"8.08"
36,2,"8"
36,3,"8"
36,4,"8.25"
36,5,"7.92"
36,6,"7.92"
36,7,"10"
36,8,"10"
36,9,"10"
36,10,"8.08"
36,11,"86.25"
36,12,"0.12"
36,13,"0"
36,14,"0"
36,15,"320"
36,16,"1"
36,17,"1800"
36,18,"1800"
37,1,"8.08"
37,2,"8.17"
37,3,"8"
37,4,"7.92"
37,5,"7.92"
37,6,"7.83"
37,7,"10"
37,8,"10"
37,9,"10"
37,10,"8.33"
37,11,"86.25"
37,12,"0"
37,13,"1"
37,14,"0"
37,15,"10"
37,16,"4"
37,17,NA
37,18,NA
38,1,"8.25"
38,2,"8.42"
38,3,"8.08"
38,4,"7.75"
38,5,"7.67"
38,6,"7.83"
38,7,"10"
38,8,"10"
38,9,"10"
38,10,"8.25"
38,11,"86.25"
38,12,"0"
38,13,"2"
38,14,"0"
38,15,"25"
38,16,"1"
38,17,NA
38,18,NA
39,1,"7.92"
39,2,"7.75"
39,3,"8.08"
39,4,"8.08"
39,5,"8.08"
39,6,"8.17"
39,7,"10"
39,8,"10"
39,9,"10"
39,10,"8.17"
39,11,"86.25"
39,12,"0.1"
39,13,"0"
39,14,"0"
39,15,"300"
39,16,"2"
39,17,NA
39,18,NA
40,1,"7.67"
40,2,"8.17"
40,3,"8"
40,4,"8"
40,5,"8.17"
40,6,"8.08"
40,7,"10"
40,8,"10"
40,9,"10"
40,10,"8.08"
40,11,"86.17"
40,12,"0"
40,13,"0"
40,14,"0"
40,15,"10"
40,16,"0"
40,17,"1941"
40,18,"1941"
41,1,"7.83"
41,2,"8.33"
41,3,"7.83"
41,4,"8.25"
41,5,"7.58"
41,6,"7.92"
41,7,"10"
41,8,"10"
41,9,"10"
41,10,"8.42"
41,11,"86.17"
41,12,"0.1"
41,13,"1"
41,14,"0"
41,15,"53"
41,16,"9"
41,17,"1300"
41,18,"1300"
42,1,"8.17"
42,2,"7.92"
42,3,"7.92"
42,4,"7.75"
42,5,"8.33"
42,6,"8"
42,7,"10"
42,8,"10"
42,9,"10"
42,10,"8.08"
42,11,"86.17"
42,12,"0.08"
42,13,"0"
42,14,"0"
42,15,"300"
42,16,"2"
42,17,"12"
42,18,"12"
43,1,"8.42"
43,2,"7.92"
43,3,"8"
43,4,"7.75"
43,5,"7.92"
43,6,"8"
43,7,"10"
43,8,"10"
43,9,"10"
43,10,"8.17"
43,11,"86.17"
43,12,"0.01"
43,13,"0"
43,14,"0"
43,15,"300"
43,16,"3"
43,17,"12"
43,18,"12"
44,1,"8.08"
44,2,"8.17"
44,3,"7.75"
44,4,"8.08"
44,5,"7.75"
44,6,"7.83"
44,7,"10"
44,8,"10"
44,9,"10"
44,10,"8.42"
44,11,"86.08"
44,12,"0.12"
44,13,"0"
44,14,"0"
44,15,"10"
44,16,"0"
44,17,"1000"
44,18,"1000"
45,1,"8.08"
45,2,"8.08"
45,3,"8"
45,4,"8"
45,5,"7.83"
45,6,"8.08"
45,7,"10"
45,8,"10"
45,9,"10"
45,10,"8"
45,11,"86.08"
45,12,"0.11"
45,13,"0"
45,14,"0"
45,15,"12"
45,16,"2"
45,17,"1754"
45,18,"1754"
46,1,"8.33"
